DS_ID,DATASOURCE,UNIPROT_ID,GENE_SYMBOL,GENE_NAME,GENE_SYNONYMS,BIOMOLECULE_TYPE
,UniProtKB,J3QL48,J3QL48,Uncharacterized protein,,protein
,UniProtKB,J3QL54,NUP85,Nuclear pore complex protein Nup85,NUP85,protein
,UniProtKB,J3QL56,SCO1,Synthesis of cytochrome C oxidase 1,SCO1,protein
,UniProtKB,J3QL60,SLC7A6,Solute carrier family 7 member 6,SLC7A6,protein
,UniProtKB,J3QL63,TVP23B,Golgi apparatus membrane protein TVP23 homolog,TVP23B,protein
,UniProtKB,J3QL64,MBP,Myelin basic protein,MBP,protein
,UniProtKB,J3QL69,LIMD2,LIM zinc-binding domain-containing protein,LIMD2,protein
,UniProtKB,J3QL70,RGS9,Regulator of G-protein signaling 9,RGS9,protein
,UniProtKB,J3QL71,SCRN2,Secernin 2,SCRN2,protein
,UniProtKB,J3QL74,ZBTB14,BTB domain-containing protein,ZBTB14,protein
,UniProtKB,J3QL78,SLC13A2,Solute carrier family 13 member 2,SLC13A2,protein
,UniProtKB,J3QL79,HYDIN,Abnormal spindle-like microcephaly-associated protein ASH domain-containing protein,HYDIN,protein
,UniProtKB,J3QL81,ENOSF1,Mandelate racemase/muconate lactonizing enzyme C-terminal domain-containing protein,ENOSF1,protein
,UniProtKB,J3QL84,SLC25A19,Solute carrier family 25 member 19,SLC25A19,protein
,UniProtKB,J3QL85,NDEL1,NUDE domain-containing protein,NDEL1,protein
,UniProtKB,J3QL89,GIT1,ARF GTPase-activating protein GIT1 C-terminal domain-containing protein,GIT1,protein
,UniProtKB,J3QL90,DRG2,OBG-type G domain-containing protein,DRG2,protein
,UniProtKB,J3QL91,NUP85,Nuclear pore complex protein Nup85,NUP85,protein
,UniProtKB,J3QL92,MTCL1,Microtubule crosslinking factor 1,MTCL1,protein
,UniProtKB,J3QLA1,CDH16,Cadherin domain-containing protein,CDH16,protein
,UniProtKB,J3QLA7,STARD3,MENTAL domain-containing protein,STARD3,protein
,UniProtKB,J3QLA8,SEPTIN4,Septin-type G domain-containing protein,SEPTIN4,protein
,UniProtKB,J3QLA9,SLC39A11,Solute carrier family 39 member 11,SLC39A11,protein
,UniProtKB,J3QLB2,SLC39A11,Solute carrier family 39 member 11,SLC39A11,protein
,UniProtKB,J3QLB7,CYBC1,Essential for reactive oxygen species protein,CYBC1,protein
,UniProtKB,J3QLC0,MED24,Mediator of RNA polymerase II transcription subunit 24,MED24,protein
,UniProtKB,J3QLC2,MED24,Mediator of RNA polymerase II transcription subunit 24,MED24,protein
,UniProtKB,J3QLC5,TMEM94,Transmembrane protein 94,TMEM94,protein
,UniProtKB,J3QLC6,RAB34,"RAB34, member RAS oncogene family",RAB34,protein
,UniProtKB,J3QLC7,CD7,CD7 molecule,CD7,protein
,UniProtKB,J3QLC8,RPL17,Large ribosomal subunit protein uL22,RPL17,protein
,UniProtKB,J3QLC9,HP,Haptoglobin,HP,protein
,UniProtKB,J3QLD0,NDEL1,NudE neurodevelopment protein 1 like 1,NDEL1,protein
,UniProtKB,J3QLD1,MIF4GD,MIF4G domain-containing protein,MIF4GD|hCG_27464,protein
,UniProtKB,J3QLD3,TSPO,Translocator protein,TSPO,protein
,UniProtKB,J3QLD4,NUP85,Nuclear pore complex protein Nup85,NUP85,protein
,UniProtKB,J3QLD5,DUS2,DUS-like FMN-binding domain-containing protein,DUS2,protein
,UniProtKB,J3QLD6,UTP18,UTP18 small subunit processome component,UTP18,protein
,UniProtKB,J3QLD7,ISYNA1,Inositol-3-phosphate synthase 1,ISYNA1,protein
,UniProtKB,J3QLD9,FLOT2,Flotillin,FLOT2|hCG_1998851,protein
,UniProtKB,J3QLE0,MIB2,Mind bomb SH3 repeat domain-containing protein,MIB2,protein
,UniProtKB,J3QLE4,DUS1L,DUS-like FMN-binding domain-containing protein,DUS1L,protein
,UniProtKB,J3QLE5,SNRPN,Sm domain-containing protein,SNRPN,protein
,UniProtKB,J3QLE6,CDH8,Cadherin domain-containing protein,CDH8,protein
,UniProtKB,J3QLE9,HYOU1,Hypoxia up-regulated 1,HYOU1,protein
,UniProtKB,J3QLF2,GPR142,G protein-coupled receptor 142,GPR142,protein
,UniProtKB,J3QLF3,DRG2,Developmentally regulated GTP binding protein 2,DRG2,protein
,UniProtKB,K7EP35,K7EP35,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,,protein
,UniProtKB,K7EP36,LGALS3BP,Galectin-3-binding protein,LGALS3BP,protein
,UniProtKB,K7EP38,CSNK1G2,Protein kinase domain-containing protein,CSNK1G2,protein
,UniProtKB,K7EP39,ZNF570,Zinc finger protein 570,ZNF570,protein
,UniProtKB,K7EP40,CLDN7,Claudin,CLDN7,protein
,UniProtKB,K7EP41,GPI,Glucose-6-phosphate isomerase,GPI,protein
,UniProtKB,K7EP42,MALT1,Ig-like domain-containing protein,MALT1,protein
,UniProtKB,K7EP43,ATG4D,Cysteine protease,ATG4D,protein
,UniProtKB,K7EP45,VPS25,Vacuolar protein-sorting-associated protein 25,VPS25,protein
,UniProtKB,K7EP46,THOP1,Peptidase M3A/M3B catalytic domain-containing protein,THOP1,protein
,UniProtKB,K7EP49,ZNF532,Zinc finger protein 532,ZNF532,protein
,UniProtKB,K7EP51,DOCK6,DOCKER domain-containing protein,DOCK6,protein
,UniProtKB,K7EP56,AFG3L2,Peptidase M41 FtsH extracellular domain-containing protein,AFG3L2,protein
,UniProtKB,K7EP57,SEPTIN12,Septin-type G domain-containing protein,SEPTIN12|FLJ25410|hCG_15171,protein
,UniProtKB,K7EP60,BRME1,Break repair meiotic recombinase recruitment factor 1,BRME1,protein
,UniProtKB,K7EP61,SKA1,Spindle and kinetochore-associated protein 1,SKA1,protein
,UniProtKB,K7EP64,ZNF570,KRAB domain-containing protein,ZNF570,protein
,UniProtKB,K7EP65,RPL22,Ribosomal protein L22,RPL22,protein
,UniProtKB,K7EP67,EFTUD2,Translation elongation factor EFG/EF2 domain-containing protein,EFTUD2,protein
,UniProtKB,K7EP71,HS2ST1,Heparan sulfate 2-O-sulfotransferase 1,HS2ST1,protein
,UniProtKB,K7EP73,GAPDHS,Glyceraldehyde 3-phosphate dehydrogenase NAD(P) binding domain-containing protein,GAPDHS,protein
,UniProtKB,K7EP75,UBE4B,Ubiquitin conjugation factor E4,UBE4B,protein
,UniProtKB,K7EP76,BIRC5,Baculoviral IAP repeat containing 5,BIRC5,protein
,UniProtKB,K7EP82,RPRD1A,Regulation of nuclear pre-mRNA domain-containing protein,RPRD1A,protein
,UniProtKB,K7EP83,ITGA2B,Integrin alpha-2 domain-containing protein,ITGA2B,protein
,UniProtKB,K7EP86,RHOT1,Miro domain-containing protein,RHOT1,protein
,UniProtKB,K7EP87,NDUFA13,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,NDUFA13,protein
,UniProtKB,K7EP88,SEH1L,SEH1 like nucleoporin,SEH1L,protein
,UniProtKB,K7EP90,RBM42,RNA-binding protein 42,RBM42,protein
,UniProtKB,K7EP97,PWWP3A,PWWP domain-containing DNA repair factor 3A,PWWP3A,protein
,UniProtKB,K7EPA2,CEP192,Centrosomal protein 192,CEP192,protein
,UniProtKB,K7EPA3,TMEM161A,Transmembrane protein 161A,TMEM161A,protein
,UniProtKB,K7EPA6,TXNL4A,Thioredoxin like 4A,TXNL4A,protein
,UniProtKB,K7EPA7,MEIOC,Meiosis specific with coiled-coil domain,MEIOC,protein
,UniProtKB,K7EPB2,PRKAR1A,Cyclic nucleotide-binding domain-containing protein,PRKAR1A,protein
,UniProtKB,K7EPB5,ELAVL3,RRM domain-containing protein,ELAVL3,protein
,UniProtKB,K7EPB9,TPM4,Tropomyosin 4,TPM4,protein
,UniProtKB,K7EPC0,EZH1,Enhancer of zeste 1 polycomb repressive complex 2 subunit,EZH1,protein
,UniProtKB,K7EPC4,KAT2A,N-acetyltransferase domain-containing protein,KAT2A,protein
,UniProtKB,K7EPC7,BRCA1,BRCT domain-containing protein,BRCA1,protein
,UniProtKB,K7EPC8,ELOF1,Transcription elongation factor 1 homolog,ELOF1,protein
,UniProtKB,K7EPC9,CCR10,G-protein coupled receptors family 1 profile domain-containing protein,CCR10,protein
,UniProtKB,K7EPD0,RETREG3,Reticulophagy regulator family member 3,RETREG3,protein
,UniProtKB,K7EPD3,NEK8,Protein kinase domain-containing protein,NEK8,protein
,UniProtKB,K7EPD4,TLE2,Groucho/TLE N-terminal Q-rich domain-containing protein,TLE2,protein
,UniProtKB,K7EPD6,ERC1,ELKS/RAB6-interacting/CAST family member 1,ERC1,protein
,UniProtKB,K7EPD9,GIPR,Gastric inhibitory polypeptide receptor,GIPR,protein
,UniProtKB,K7EPE2,GNAL,G protein subunit alpha L,GNAL,protein
,UniProtKB,K7EPE5,TUBB6,Tubulin/FtsZ GTPase domain-containing protein,TUBB6,protein
,UniProtKB,K7EPE7,VMP1,Vacuole membrane protein 1,VMP1,protein
